Done|song|artist|album|genre|track|filePath|FileName
x|Cigarettes Will Kill You|Ben Lee|100% Hits - the Best of 1999|Pop|9|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RNB33FV/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3|100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3
x|Cigarettes Will Kill You|Ben Lee|100% Hits - the Best of 1999|Pop|9|/mnt/PiNAS/music/malendragem/Ben Lee/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3|100% Hits - The Best of 1999 (Disc 1) - 09 - Ben Lee - Cigarettes Will Kill You.mp3
x|Sonnet|Verve, The|100% Hits - the Best of 1999|Pop|10|/mnt/PiNAS/music/malendragem/Verve, The/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 10 - The Verve - Sonnet.mp3|100% Hits - The Best of 1999 (Disc 1) - 10 - The Verve - Sonnet.mp3
x|Baby did a Bad Thing|Chris Issac|100% Hits - the Best of 1999|Pop|11|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$ROYG59Q/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3|100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3
x|Baby did a Bad Thing|Chris Issac|100% Hits - the Best of 1999|Pop|11|/mnt/PiNAS/music/malendragem/Chris Issac/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3|100% Hits - The Best of 1999 (Disc 1) - 11 - Chris Issac - Baby did a Bad Thing.mp3
x|Hands|Jewel|100% Hits - the Best of 1999|Pop|12|/mnt/PiNAS/music/malendragem/Jewel/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 12 - Jewel - Hands.mp3|100% Hits - The Best of 1999 (Disc 1) - 12 - Jewel - Hands.mp3
x|My Favourite Mistake|Sheryl Crowe|100% Hits - the Best of 1999|Pop|13|/mnt/PiNAS/music/malendragem/Sheryl Crowe/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 13 - Sheryl Crowe - My Favourite Mistake.mp3|100% Hits - The Best of 1999 (Disc 1) - 13 - Sheryl Crowe - My Favourite Mistake.mp3
x|Have you Ever|Brandie|100% Hits - the Best of 1999|Pop|15|/mnt/PiNAS/music/malendragem/$RECYCLE.BIN/S-1-5-21-94197280-668744178-145704350-1262/$RSWWVTI/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 15 - Brandie - Have you Ever.mp3|100% Hits - The Best of 1999 (Disc 1) - 15 - Brandie - Have you Ever.mp3
x|Have you Ever|Brandie|100% Hits - the Best of 1999|Pop|15|/mnt/PiNAS/music/malendragem/Brandie/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 15 - Brandie - Have you Ever.mp3|100% Hits - The Best of 1999 (Disc 1) - 15 - Brandie - Have you Ever.mp3
x|How Deep is your Love|Drew Hill|100% Hits - the Best of 1999|Pop|16|/mnt/PiNAS/music/malendragem/Drew Hill/100% Hits - the Best of 1999 (Disc 1)/100% Hits - The Best of 1999 (Disc 1) - 16 - Drew Hill - How Deep is your Love.mp3|100% Hits - The Best of 1999 (Disc 1) - 16 - Drew Hill - How Deep is your Love.mp3
